frequency_thz,phdos_modes_per_thz
5.75463022,2.5977448491
5.76956864,2.6094481037
5.78450706,2.6107073555
5.79944548,2.6011962561
5.81438391,2.5810501955
5.82932233,2.5508850129
5.84426075,2.5117516835
5.85919918,2.4650485390
5.87413760,2.4124285012
5.88907602,2.3556808859
5.90401444,2.2965925758
5.91895287,2.2368202032
5.93389129,2.1778086179
5.94882971,2.1207006148
5.96376814,2.0663055900
5.97870656,2.0150702591
5.99364498,1.9671280972
6.00858340,1.9223271185
6.02352183,1.8803032783
6.03846025,1.8405600917
6.05339867,1.8025521495
6.06833710,1.7657464070
6.08327552,1.7296838260
6.09821394,1.6940271248
6.11315236,1.6585666621
6.12809079,1.6232454050
6.14302921,1.5881407758
6.15796763,1.5534377823
6.17290606,1.5194100648
6.18784448,1.4863862639
6.20278290,1.4547086747
6.21772132,1.4247290633
6.23265975,1.3967680510
6.24759817,1.3711193642
6.26253659,1.3480264375
6.27747502,1.3276888271
6.29241344,1.3102447721
6.30735186,1.2957748104
6.32229028,1.2843016173
6.33722871,1.2757841314
6.35216713,1.2701335010
6.36710555,1.2671899478
6.38204397,1.2667558293
6.39698240,1.2686056678
6.41192082,1.2724773413
6.42685924,1.2781193727
6.44179767,1.2852877286
6.45673609,1.2937534485
6.47167451,1.3033291576
6.48661293,1.3138552781
6.50155136,1.3252057276
6.51648978,1.3372725649
6.53142820,1.3499629402
6.54636663,1.3631792281
6.56130505,1.3768122471
6.57624347,1.3907228035
6.59118189,1.4047500553
6.60612032,1.4186838516
6.62105874,1.4322874656
6.63599716,1.4452892533
6.65093559,1.4573879005
6.66587401,1.4682627380
6.68081243,1.4775823599
6.69575085,1.4850149570
6.71068928,1.4902376336
6.72562770,1.4929597946
6.74056612,1.4929289306
6.75550455,1.4899495873
6.77044297,1.4839017462
6.78538139,1.4747405129
6.80031981,1.4625347444
6.81525824,1.4474408709
6.83019666,1.4297156727
6.84513508,1.4096970833
6.86007351,1.3877896687
6.87501193,1.3644294668
6.88995035,1.3400596058
6.90488877,1.3151163127
6.91982720,1.2899828599
6.93476562,1.2649705965
6.94970404,1.2403027633
6.96464247,1.2161112537
6.97958089,1.1924241402
6.99451931,1.1691829838
7.00945773,1.1462455130
7.02439616,1.1234248249
7.03933458,1.1004877237
7.05427300,1.0771901661
7.06921143,1.0533004938
7.08414985,1.0286240772
7.09908827,1.0030206393
7.11402669,0.9764169691
7.12896512,0.9488174228
7.14390354,0.9202953724
7.15884196,0.8910016507
7.17378039,0.8611442920
7.18871881,0.8309710128
7.20365723,0.8007534629
7.21859565,0.7707620131
7.23353408,0.7412569908
7.24847250,0.7124612883
7.26341092,0.6845633172
7.27834935,0.6577072750
7.29328777,0.6319909019
7.30822619,0.6074675669
7.32316461,0.5841593882
7.33810304,0.5620533030
7.35304146,0.5411206259
7.36797988,0.5213064238
7.38291831,0.5025549881
7.39785673,0.4847957466
7.41279515,0.4679585174
7.42773357,0.4519719095
7.44267200,0.4367611813
7.45761042,0.4222634651
7.47254884,0.4084105884
7.48748727,0.3951475963
7.50242569,0.3824227524
7.51736411,0.3701955342
7.53230253,0.3584252559
7.54724096,0.3470800907
7.56217938,0.3361272467
7.57711780,0.3255420931
7.59205623,0.3152940390
7.60699465,0.3053556917
7.62193307,0.2957046741
7.63687149,0.2863139125
7.65180992,0.2771642237
7.66674834,0.2682455234
7.68168676,0.2595468062
7.69662519,0.2510670585
7.71156361,0.2428133658
7.72650203,0.2347822674
7.74144045,0.2269805404
7.75637888,0.2194119510
7.77131730,0.2120798773
7.78625572,0.2049831684
7.80119415,0.1981208882
7.81613257,0.1914904389
7.83107099,0.1850918397
7.84600941,0.1789216521
7.86094784,0.1729777709
7.87588626,0.1672607712
7.89082468,0.1617706848
7.90576311,0.1565089749
7.92070153,0.1514769021
7.93563995,0.1466740400
7.95057837,0.1420991479
7.96551680,0.1377509037
7.98045522,0.1336237552
7.99539364,0.1297141335
8.01033207,0.1260099386
8.02527049,0.1225022227
8.04020891,0.1191746480
8.05514733,0.1160087997
8.07008576,0.1129832152
8.08502418,0.1100748198
8.09996260,0.1072634497
8.11490103,0.1045305618
8.12983945,0.1018630671
8.14477787,0.0992537643
8.15971629,0.0967019454
8.17465472,0.0942115651
8.18959314,0.0917899260
8.20453156,0.0894445247
8.21946999,0.0871793671
8.23440841,0.0849966470
8.24934683,0.0828898832
8.26428525,0.0808505874
8.27922368,0.0788629659
8.29416210,0.0769125311
8.30910052,0.0749825494
8.32403895,0.0730639130
8.33897737,0.0711511487
8.35391579,0.0692471271
8.36885421,0.0673610286
8.38379264,0.0655051417
8.39873106,0.0636964883
8.41366948,0.0619477983
8.42860791,0.0602702265
8.44354633,0.0586673634
8.45848475,0.0571358748
8.47342317,0.0556658001
8.48836160,0.0542411548
8.50330002,0.0528433049
8.51823844,0.0514539881
8.53317687,0.0500594566
8.54811529,0.0486511714
8.56305371,0.0472279510
8.57799213,0.0457966552
8.59293056,0.0443699604
8.60786898,0.0429652889
8.62280740,0.0415997899
8.63774583,0.0402903020
8.65268425,0.0390484429
8.66762267,0.0378782586
8.68256109,0.0367787839
8.69749952,0.0357382911
8.71243794,0.0347420444
8.72737636,0.0337699142
8.74231479,0.0328027743
8.75725321,0.0318231603
8.77219163,0.0308193716
8.78713005,0.0297853790
8.80206848,0.0287239053
8.81700690,0.0276444558
8.83194532,0.0265635833
8.84688375,0.0254991775
8.86182217,0.0244713360
8.87676059,0.0234980012
8.89169901,0.0225902807
8.90663744,0.0217542028
8.92157586,0.0209869168
8.93651428,0.0202788332
8.95145271,0.0196140113
8.96639113,0.0189737256
8.98132955,0.0183371704
