frequency_thz,phdos_modes_per_thz
5.43536815,0.6717804811
5.44335087,0.6730762481
5.45133359,0.6745446913
5.45931631,0.6761747044
5.46729903,0.6779492765
5.47528175,0.6798572958
5.48326447,0.6818784271
5.49124719,0.6839805409
5.49922991,0.6861240946
5.50721263,0.6882784872
5.51519535,0.6904072633
5.52317807,0.6924779746
5.53116079,0.6944448800
5.53914351,0.6962880820
5.54712623,0.6979648021
5.55510895,0.6994530653
5.56309167,0.7007349006
5.57107439,0.7017920525
5.57905711,0.7026266865
5.58703982,0.7032355748
5.59502254,0.7036217451
5.60300526,0.7037949261
5.61098798,0.7037837780
5.61897070,0.7035988882
5.62695342,0.7032858413
5.63493614,0.7028614847
5.64291886,0.7023621823
5.65090158,0.7018173185
5.65888430,0.7012568376
5.66686702,0.7007218680
5.67484974,0.7002312280
5.68283246,0.6998116169
5.69081518,0.6994944786
5.69879790,0.6992873622
5.70678062,0.6992173205
5.71476334,0.6992873478
5.72274606,0.6995138358
5.73072878,0.6999015758
5.73871150,0.7004509724
5.74669422,0.7011599088
5.75467694,0.7020240171
5.76265966,0.7030410906
5.77064238,0.7041980830
5.77862510,0.7054922171
5.78660782,0.7069082274
5.79459054,0.7084204854
5.80257326,0.7100280846
5.81055598,0.7116920725
5.81853870,0.7134080809
5.82652142,0.7151450261
5.83450414,0.7168836825
5.84248686,0.7186011867
5.85046958,0.7202729925
5.85845230,0.7218812515
5.86643502,0.7234089565
5.87441774,0.7248337556
5.88240046,0.7261407992
5.89038318,0.7273301925
5.89836590,0.7283818541
5.90634862,0.7292857218
5.91433134,0.7300470263
5.92231406,0.7306708722
5.93029677,0.7311734569
5.93827949,0.7315537459
5.94626221,0.7318264173
5.95424493,0.7320183953
5.96222765,0.7321431775
5.97021037,0.7322264775
5.97819309,0.7322859259
5.98617581,0.7323553731
5.99415853,0.7324481287
6.00214125,0.7325880446
6.01012397,0.7327782476
6.01810669,0.7330395899
6.02608941,0.7333798377
6.03407213,0.7338075005
6.04205485,0.7343274106
6.05003757,0.7349254475
6.05802029,0.7355861023
6.06600301,0.7363012074
6.07398573,0.7370394328
6.08196845,0.7377733592
6.08995117,0.7384780416
6.09793389,0.7391135365
6.10591661,0.7396392975
6.11389933,0.7400207870
6.12188205,0.7402052372
6.12986477,0.7401458090
6.13784749,0.7398050597
6.14583021,0.7391332810
6.15381293,0.7380927894
6.16179565,0.7366398316
6.16977837,0.7347423552
6.17776109,0.7323770451
6.18574381,0.7295143300
6.19372653,0.7261274566
6.20170925,0.7222183306
6.20969197,0.7177912828
6.21767469,0.7128392199
6.22565741,0.7073815895
6.23364013,0.7014289600
6.24162285,0.6950219360
6.24960557,0.6881884663
6.25758829,0.6809710617
6.26557101,0.6734105722
6.27355372,0.6655665285
6.28153644,0.6574879956
6.28951916,0.6492280432
6.29750188,0.6408389486
6.30548460,0.6323872933
6.31346732,0.6239112136
6.32145004,0.6154760434
6.32943276,0.6071228837
6.33741548,0.5988872849
6.34539820,0.5908072652
6.35338092,0.5829202213
6.36136364,0.5752531400
6.36934636,0.5678195398
6.37732908,0.5606341802
6.38531180,0.5537098888
6.39329452,0.5470369697
6.40127724,0.5406258629
6.40925996,0.5344738997
6.41724268,0.5285766463
6.42522540,0.5229298054
6.43320812,0.5175204486
6.44119084,0.5123378397
6.44917356,0.5073845509
6.45715628,0.5026563560
6.46513900,0.4981563396
6.47312172,0.4938950415
6.48110444,0.4898564180
6.48908716,0.4860552353
6.49706988,0.4825013274
6.50505260,0.4792017937
6.51303532,0.4761801130
6.52101804,0.4734298239
6.52900076,0.4709686976
6.53698348,0.4687997788
6.54496620,0.4669251783
6.55294892,0.4653380402
6.56093164,0.4640474742
6.56891436,0.4630324184
6.57689708,0.4622835694
6.58487980,0.4617898315
6.59286252,0.4615186140
6.60084524,0.4614514313
6.60882795,0.4615637048
6.61681067,0.4618081242
6.62479339,0.4621639829
6.63277611,0.4626024499
6.64075883,0.4630832726
6.64874155,0.4635778304
6.65672427,0.4640577522
6.66470699,0.4644907563
6.67268971,0.4648589871
6.68067243,0.4651454308
6.68865515,0.4653297078
6.69663787,0.4654063413
6.70462059,0.4653634371
6.71260331,0.4651991747
6.72058603,0.4649213628
6.72856875,0.4645279697
6.73655147,0.4640271983
6.74453419,0.4634220625
6.75251691,0.4627368743
6.76049963,0.4619808517
6.76848235,0.4611624103
6.77646507,0.4602963757
6.78444779,0.4594035606
6.79243051,0.4584927533
6.80041323,0.4575783526
6.80839595,0.4566672633
6.81637867,0.4557771773
6.82436139,0.4549191230
6.83234411,0.4540972311
6.84032683,0.4533153618
6.84830955,0.4525786423
6.85629227,0.4518905060
6.86427499,0.4512406134
6.87225771,0.4506468028
6.88024043,0.4500887851
6.88822315,0.4495705425
6.89620587,0.4490795256
6.90418859,0.4486035179
6.91217131,0.4481437691
6.92015403,0.4476845929
6.92813675,0.4472142604
6.93611947,0.4467280104
6.94410219,0.4462179498
6.95208490,0.4456694306
6.96006762,0.4450802047
6.96805034,0.4444458374
6.97603306,0.4437616745
6.98401578,0.4430284777
6.99199850,0.4422356389
6.99998122,0.4413872048
7.00796394,0.4404916551
7.01594666,0.4395464887
7.02392938,0.4385557947
7.03191210,0.4375194853
7.03989482,0.4364461146
7.04787754,0.4353427357
7.05586026,0.4342037484
7.06384298,0.4330379757
7.07182570,0.4318446875
7.07980842,0.4306243088
7.08779114,0.4293799833
7.09577386,0.4281061633
7.10375658,0.4268109991
7.11173930,0.4254814146
7.11972202,0.4241241328
7.12770474,0.4227429035
7.13568746,0.4213235183
7.14367018,0.4198658131
7.15165290,0.4183721575
7.15963562,0.4168451493
7.16761834,0.4152722950
7.17560106,0.4136567401
7.18358378,0.4120070372
7.19156650,0.4103113382
7.19954922,0.4085754212
7.20753194,0.4068004962
7.21551466,0.4049893531
7.22349738,0.4031353475
7.23148010,0.4012334702
7.23946282,0.3992845314
7.24744554,0.3972904694
7.25542826,0.3952526982
7.26341098,0.3931669328
7.27139370,0.3910238280
7.27937642,0.3888254313
7.28735914,0.3865697585
7.29534185,0.3842633072
7.30332457,0.3818948448
7.31130729,0.3794727452
7.31929001,0.3770044330
7.32727273,0.3744845351
7.33525545,0.3719257940
7.34323817,0.3693252352
7.35122089,0.3666996079
7.35920361,0.3640676010
7.36718633,0.3614323694
7.37516905,0.3588223162
7.38315177,0.3562509860
7.39113449,0.3537439097
7.39911721,0.3513153224
7.40709993,0.3489877983
7.41508265,0.3468030361
7.42306537,0.3447830687
7.43104809,0.3429619079
7.43903081,0.3413746245
7.44701353,0.3400537722
7.45499625,0.3390282923
7.46297897,0.3383392580
7.47096169,0.3380232775
7.47894441,0.3381150266
7.48692713,0.3386541216
7.49490985,0.3396639984
7.50289257,0.3411874702
7.51087529,0.3432528380
7.51885801,0.3458952559
7.52684073,0.3491361629
7.53482345,0.3529972058
7.54280617,0.3575090570
7.55078889,0.3626881956
7.55877161,0.3685509027
7.56675433,0.3750985374
7.57473705,0.3823467115
7.58271977,0.3902950299
7.59070249,0.3989483825
7.59868521,0.4082921059
7.60666793,0.4183202161
7.61465065,0.4290144420
7.62263337,0.4403624411
7.63061609,0.4523396033
7.63859880,0.4649104622
7.64658152,0.4780471828
7.65456424,0.4917082449
7.66254696,0.5058512381
7.67052968,0.5204401608
7.67851240,0.5354198318
7.68649512,0.5507335138
7.69447784,0.5663360239
7.70246056,0.5821540441
7.71044328,0.5981420893
7.71842600,0.6142397006
7.72640872,0.6303868758
7.73439144,0.6465286246
7.74237416,0.6626043020
7.75035688,0.6785656110
7.75833960,0.6943619112
7.76632232,0.7099421277
7.77430504,0.7252588524
7.78228776,0.7402864158
7.79027048,0.7549844462
7.79825320,0.7693280904
7.80623592,0.7832901324
7.81421864,0.7968521859
7.82220136,0.8099922922
7.83018408,0.8227029303
7.83816680,0.8349781196
7.84614952,0.8468165878
7.85413224,0.8582205275
7.86211496,0.8691818252
7.87009768,0.8797043571
7.87808040,0.8897852580
7.88606312,0.8994281538
7.89404584,0.9086369111
7.90202856,0.9174062314
7.91001128,0.9257299868
7.91799400,0.9336004803
7.92597672,0.9410097066
7.93395944,0.9479395949
7.94194216,0.9543699705
7.94992488,0.9602788239
7.95790760,0.9656521078
7.96589032,0.9704479087
7.97387304,0.9746398892
7.98185575,0.9781862874
7.98983847,0.9810583362
7.99782119,0.9832093735
8.00580391,0.9846084327
8.01378663,0.9852199838
8.02176935,0.9850017255
8.02975207,0.9839222118
8.03773479,0.9819584028
8.04571751,0.9790857608
8.05370023,0.9752904076
8.06168295,0.9705568486
8.06966567,0.9648815541
8.07764839,0.9582770446
8.08563111,0.9507566558
8.09361383,0.9423382670
8.10159655,0.9330540713
8.10957927,0.9229389905
